УНОМ,DATE_WEEK,класс,число секций,год постройки,Количество этажей,Количество квартир,Износ объекта (по БТИ),Количество пассажирских лифтов,Количество грузопассажирских лифтов
8423.0,Воскресенье,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Вторник,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Понедельник,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Пятница,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Среда,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Суббота,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Четверг,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8427.0,Воскресенье,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Вторник,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Понедельник,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Пятница,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Среда,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Суббота,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Четверг,жилые,4,1960,5,79.0,0.0,0.0,0.0
12174.0,Воскресенье,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Вторник,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Понедельник,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Пятница,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Среда,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Суббота,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Четверг,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12176.0,Воскресенье,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Вторник,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Понедельник,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Пятница,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Среда,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Суббота,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Четверг,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12177.0,Воскресенье,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Вторник,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Понедельник,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Пятница,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Среда,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Суббота,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Четверг,жилые,4,1975,9,144.0,15.0,4.0,0.0
12178.0,Воскресенье,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Вторник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Понедельник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Пятница,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Среда,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Суббота,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Четверг,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Воскресенье,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Вторник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Понедельник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Пятница,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Среда,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Суббота,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Четверг,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12180.0,Воскресенье,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Вторник,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Понедельник,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Пятница,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Среда,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Суббота,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Четверг,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12182.0,Воскресенье,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Вторник,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Понедельник,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Пятница,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Среда,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Суббота,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Четверг,жилые,2,1976,9,178.0,4.0,2.0,0.0
12183.0,Воскресенье,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Вторник,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Понедельник,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Пятница,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Среда,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Суббота,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Четверг,жилые,2,1976,9,174.0,15.0,2.0,0.0
12184.0,Воскресенье,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Вторник,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Понедельник,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Пятница,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Среда,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Суббота,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Четверг,жилые,1,1979,16,110.0,-1.0,1.0,1.0
13634.0,Воскресенье,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Вторник,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Понедельник,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Пятница,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Среда,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Суббота,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Четверг,жилые,4,1976,12,191.0,16.0,8.0,0.0
